sample_id,material,E_eff_MPa,sigma_y_MPa,source,measured_porosity,relative_density,porosity_pct,mat_key,E_s,E_norm
HEC_01TS60_02_20220608,HEC,163.00175662230015,7.257747004414339,Experimental,34.889765901130055,0.6511023409886995,,HEC,1001.5,0.16275762019201212
T20_02TS65_02_20220215,T20,140.42459357617074,6.627544439309625,Experimental,60.4455532520468,0.395544467479532,,HTB,1291.4,0.10873826357145015
BMA_02TS80_03_20220216,BMA,115.88006175334833,3.9308999475750137,Experimental,74.41423684950468,0.2558576315049532,,GPR,1916.9,0.06045180330395342
DUR_02TS75_03_20220215,DUR,48.48265536748275,3.020975737773364,Experimental,70.88884318609414,0.2911115681390587,,DUR,,
BMC_01TS75_01_20220211,BMC,138.37384994939904,5.821706511014335,Experimental,66.92937253713245,0.3307062746286755,,BMC,,
M12_01TS65_01_20220607,M12,107.53420460072465,5.003028231831374,Experimental,45.57060684946453,0.5442939315053547,,M12,,
ERB_01TS65_03_20220221,ERB,71.8515831686398,4.352645004293625,Experimental,61.26127471477214,0.3873872528522786,,ERB,,
DFT_01TS85_02_20220303,DFT,60.88600074880508,2.4966284900347113,Experimental,75.79222946244913,0.24207770537550877,,DFT,,
DFT_01TS80_01_20220303,DFT,82.14035864282724,3.144457732762816,Experimental,70.84681885527698,0.29153181144723017,,DFT,,
M12_01TS70_03_20220609,M12,66.80748050407692,3.9505169254578796,Experimental,59.249271250643034,0.4075072874935697,,M12,,
WHT_01TS80_03_20220303,WHT,108.1550822005285,2.931191231531753,Experimental,74.85726674857267,0.2514273325142733,,HEC,1001.5,0.10799309256168597
EGS_01TS60_01_20220301,EGS,39.39154784050658,4.304032406158243,Experimental,50.33092337557128,0.4966907662442872,,EGS,,
DFT_01TS55_03_20220303,DFT,222.41260309388466,8.422022466966544,Experimental,48.09188854845438,0.5190811145154562,,DFT,,
EGS_01TS60_02_20220301,EGS,32.92182272744563,4.464866800011389,Experimental,51.75244180181283,0.4824755819818717,,EGS,,
HIG_01TS70_03_20220609,HIG,72.81087860748103,2.819377965449685,Experimental,59.22818536926422,0.4077181463073578,,HIG,,
HIG_01TS55_03_20220609,HIG,175.03664215029335,8.657209794184512,Experimental,39.04670709649961,0.6095329290350039,,HIG,,
M12_01TS70_02_20220607,M12,71.57001732250376,4.0025299796493865,Experimental,58.94530093061685,0.4105469906938315,,M12,,
T20_02TS60_03_20220215,T20,160.1157775181566,7.442997654948487,Experimental,56.1151129695351,0.43884887030464903,,HTB,1291.4,0.12398619910032257
M12_01TS60_02_20220607,M12,100.35077662851208,6.046529489945088,Experimental,38.99549500397499,0.6100450499602501,,M12,,
GPR_02TS70_02_20220211,GPR,182.70251333913126,7.417927858784242,Experimental,59.54490625604977,0.4045509374395023,,GPR,1916.9,0.09531144730509221
T15_01TS75_02_20220303,T15,48.29586431831516,3.178371628887014,Experimental,69.75408629067881,0.3024591370932118,,T15,,
BMA_02TS60_02_20220216,BMA,272.07365969733354,12.130474250223564,Experimental,56.07356469942702,0.43926435300572986,,GPR,1916.9,0.14193419567913482
HEC_01TS75_03_20220609,HEC,47.52692878986871,2.8427027410366494,Experimental,62.273152330686464,0.37726847669313535,,HEC,1001.5,0.04745574517211055
F80_01TS80_01_20220211,F80,0.5229807062802393,0.43527378948663414,Experimental,69.38344784229199,0.3061655215770801,,F80,,
DFT_01TS65_02_20220303,DFT,140.09100527767893,5.691115722595402,Experimental,57.10669025733974,0.42893309742660257,,DFT,,
BMA_02TS85_02_20220216,BMA,75.11040633276447,2.33496462451703,Experimental,77.50582146064747,0.22494178539352527,,GPR,1916.9,0.03918326794969193
M12_01TS85_02_20220607,M12,8.380226392301678,0.5242132748429339,Experimental,90.06718523483657,0.09932814765163434,,M12,,
HEB_01TS70_03_20220607,HEB,24.890680980975237,2.8336932324461253,Experimental,72.42535326001816,0.27574646739981845,,HEB,,
HIG_01TS55_02_20220609,HIG,180.81878871353766,8.306615273395865,Experimental,35.02956241545452,0.6497043758454548,,HIG,,
BMC_01TS55_01_20220211,BMC,279.793207128712,10.916136368048154,Experimental,48.65543671242367,0.5134456328757633,,BMC,,
